MOE3.Percentage of unspent funds,com_post_MOPs.Communication System.Time to get info,com_post_MOPs.Computer.Processing time,comms_MOPs.Satellite.Receiving time,comms_MOPs.Satellite.Sending time,target.Distance from base,target.Distance from optimized path start,environment.Precipitation,environment.Wind speed,h.Analysis time,h.Rescue in region time,h.Time to hospital,h.Time to prepare,h.Time to region,MOE1.Fuel cost improvement rate,MOE2.Time improvement Rate,rescue unit MOPs.Fuel cost,rescue unit MOPs.Time to rescue,search unit MOPs.Fuel cost,search unit MOPs.Time to detect,Total MOPs.Fuel consumption cost,Total MOPs.Mission time,UAV.Conditional cruise speed,UAV.Conditional max speed,UAV.Search time,UAV.Time to prepare,UAV.Time to region,UAV.Camera 5.Transparency,UAV.On-board analysis system 5.Analysis time,UAV.On-board analysis system 5.Image recognition algorithm accuracy,UAV.On-board navigation system 5.Navigation algorithm accuracy
25.0000,0.0243,0.0129,0.0007,0.0009,10.7903,2.8406,0.4021,11.3362,8.7995,0.0261,0.0899,0.0248,0.0899,34.0416,6.0821,75.8510,0.2307,0.0012,0.2000,75.8522,0.4696,100.0000,100.0000,0.0285,0.0109,0.1607,1.0000,0.2857,0.9852,0.9911
25.0000,0.0290,0.0147,0.0006,0.0009,12.4196,1.9644,0.7302,3.3347,9.3046,0.0296,0.1417,0.0259,0.1417,-2.4628,-24.8270,117.8307,0.3389,0.0014,0.2400,117.8322,0.6241,100.0000,100.0000,0.0198,0.0092,0.2110,0.9700,0.4266,0.9915,0.9922
25.0000,0.0198,0.0157,0.0006,0.0008,14.8075,4.2139,0.3916,9.2232,9.6369,0.0272,0.1234,0.0291,0.1234,10.6037,-21.5708,102.8042,0.3032,0.0016,0.2678,102.8058,0.6079,100.0000,100.0000,0.0423,0.0106,0.2149,1.0000,0.4986,0.9857,0.9872
25.0000,0.0174,0.0169,0.0010,0.0006,15.9028,0.7958,0.4349,3.7221,8.6895,0.0250,0.1325,0.0305,0.1325,4.5480,-36.7392,109.7678,0.3206,0.0020,0.3272,109.7698,0.6837,100.0000,100.0000,0.0080,0.0123,0.3069,1.0000,0.2687,0.9808,0.9853
25.0000,0.0186,0.0084,0.0007,0.0009,15.0019,0.8075,0.6969,0.2613,9.1192,0.0196,0.1250,0.0229,0.1250,10.4746,-25.2111,102.9523,0.2925,0.0019,0.3049,102.9542,0.6261,100.0000,100.0000,0.0082,0.0093,0.2874,1.0000,0.2737,0.9895,0.9887
25.0000,0.0212,0.0151,0.0008,0.0011,14.0263,0.9551,0.9403,17.5314,9.9646,0.0230,0.1507,0.0289,0.1507,-7.8569,-51.8281,124.0332,0.3533,0.0023,0.3677,124.0354,0.7591,77.5472,77.5472,0.0124,0.0119,0.3433,0.9500,0.4120,0.9819,0.9824
25.0000,0.0200,0.0152,0.0006,0.0010,15.3444,4.2205,0.9823,12.0653,8.9660,0.0186,0.1302,0.0249,0.1302,7.0100,-25.4265,106.9369,0.3039,0.0017,0.2865,106.9385,0.6271,98.2260,98.2260,0.0430,0.0145,0.2290,0.9500,0.2595,0.9952,0.9903
25.0000,0.0315,0.0150,0.0010,0.0009,10.4500,4.9708,0.7734,12.5737,9.0695,0.0256,0.1126,0.0312,0.1126,18.3361,-0.5297,93.9126,0.2819,0.0009,0.1723,93.9135,0.5026,100.0000,100.0000,0.0498,0.0110,0.1115,0.9700,0.4081,0.9953,0.9854
25.0000,0.0233,0.0154,0.0006,0.0007,16.6535,2.9582,0.9558,2.6877,8.7194,0.0188,0.1452,0.0221,0.1452,-3.4518,-41.1267,118.9676,0.3312,0.0020,0.3345,118.9696,0.7056,95.5848,95.5848,0.0311,0.0124,0.2910,0.9500,0.4330,0.9905,0.9853
25.0000,0.0305,0.0137,0.0010,0.0009,12.5523,2.4973,0.5852,14.0420,8.9682,0.0247,0.1217,0.0327,0.1217,12.1228,-17.2443,101.0574,0.3008,0.0014,0.2393,101.0588,0.5862,100.0000,100.0000,0.0251,0.0090,0.2052,1.0000,0.3632,0.9855,0.9808
25.0000,0.0239,0.0084,0.0010,0.0010,12.5788,0.3523,0.6944,16.1414,9.6778,0.0292,0.1250,0.0213,0.1250,9.2287,-29.5434,104.3850,0.3005,0.0019,0.3129,104.3870,0.6477,83.8586,83.8586,0.0043,0.0119,0.2967,1.0000,0.4238,0.9829,0.9836
25.0000,0.0173,0.0118,0.0008,0.0010,9.6568,3.9472,0.0855,16.1414,9.3664,0.0301,0.0960,0.0314,0.0960,29.3158,4.2848,81.2857,0.2534,0.0011,0.1942,81.2868,0.4786,83.8586,83.8586,0.0472,0.0092,0.1378,1.0000,0.2885,0.9819,0.9898
25.0000,0.0213,0.0097,0.0011,0.0006,16.9885,4.8863,0.4661,13.0832,8.7718,0.0198,0.1629,0.0171,0.1629,-15.8885,-40.9270,133.2700,0.3626,0.0018,0.3093,133.2717,0.7046,100.0000,100.0000,0.0490,0.0158,0.2445,1.0000,0.4252,0.9842,0.9909
25.0000,0.0181,0.0092,0.0006,0.0009,9.2731,2.8994,0.5991,16.2892,8.8505,0.0252,0.0923,0.0287,0.0923,32.4953,7.2397,77.6292,0.2385,0.0011,0.1965,77.6304,0.4638,83.7108,83.7108,0.0348,0.0091,0.1527,1.0000,0.4310,0.9932,0.9991
25.0000,0.0285,0.0103,0.0008,0.0008,12.0538,0.3967,0.6948,0.7058,8.0110,0.0192,0.1004,0.0238,0.1004,27.6203,-6.1380,83.2351,0.2439,0.0015,0.2463,83.2367,0.5307,100.0000,100.0000,0.0041,0.0081,0.2342,1.0000,0.3862,0.9960,0.9968
25.0000,0.0320,0.0087,0.0010,0.0007,14.4209,3.6262,0.9076,16.7179,9.0589,0.0272,0.1590,0.0322,0.1590,-14.1578,-52.7076,131.2794,0.3774,0.0020,0.3438,131.2815,0.7635,75.5835,75.5835,0.0481,0.0095,0.2862,0.9500,0.3114,0.9908,0.9990
25.0000,0.0317,0.0098,0.0009,0.0007,14.2796,4.0402,0.1343,0.1930,9.3334,0.0205,0.1190,0.0218,0.1190,14.5414,-16.0604,98.2758,0.2803,0.0015,0.2569,98.2773,0.5803,100.0000,100.0000,0.0405,0.0088,0.2075,1.0000,0.4000,0.9864,0.9881
25.0000,0.0247,0.0099,0.0006,0.0011,13.5992,1.6235,0.4498,3.7481,9.6400,0.0317,0.1133,0.0299,0.1133,17.0292,-19.0750,95.4147,0.2882,0.0016,0.2710,95.4164,0.5954,100.0000,100.0000,0.0163,0.0115,0.2431,1.0000,0.3339,0.9826,0.9861
25.0000,0.0272,0.0103,0.0008,0.0007,8.9703,3.4355,0.8704,8.3068,8.3673,0.0285,0.0859,0.0237,0.0859,36.5401,14.8831,72.9780,0.2240,0.0009,0.1627,72.9788,0.4256,100.0000,100.0000,0.0345,0.0160,0.1122,0.9700,0.4442,0.9947,0.9889
25.0000,0.0192,0.0103,0.0006,0.0006,14.7679,1.3792,0.5997,12.7920,9.2402,0.0320,0.1231,0.0291,0.1231,10.2143,-26.1525,103.2518,0.3072,0.0018,0.2928,103.2536,0.6308,100.0000,100.0000,0.0139,0.0107,0.2682,1.0000,0.3644,0.9978,0.9993
25.0000,0.0257,0.0116,0.0006,0.0010,12.5710,0.7904,0.9050,1.8009,8.4407,0.0177,0.1158,0.0179,0.1158,17.1600,-16.8694,95.2643,0.2671,0.0017,0.2784,95.2660,0.5843,90.5010,90.5010,0.0088,0.0081,0.2615,0.9500,0.3357,0.9955,0.9966
25.0000,0.0268,0.0136,0.0006,0.0008,9.6603,4.2283,0.2228,13.8515,9.9696,0.0230,0.0934,0.0319,0.0934,31.9903,10.6533,78.2103,0.2418,0.0009,0.1632,78.2111,0.4467,100.0000,100.0000,0.0424,0.0110,0.1098,1.0000,0.3973,0.9943,0.9918
25.0000,0.0278,0.0131,0.0011,0.0006,16.2796,4.5807,0.6203,4.6353,9.3185,0.0196,0.1357,0.0252,0.1357,3.0693,-29.7451,111.4686,0.3161,0.0017,0.2901,111.4703,0.6487,100.0000,100.0000,0.0459,0.0097,0.2345,1.0000,0.4388,0.9844,0.9990
25.0000,0.0276,0.0134,0.0007,0.0008,12.1442,0.8581,0.6397,0.9236,8.7735,0.0233,0.1012,0.0310,0.1012,26.5623,-9.6173,84.4519,0.2567,0.0015,0.2488,84.4534,0.5481,100.0000,100.0000,0.0087,0.0118,0.2284,1.0000,0.3290,0.9882,0.9895
25.0000,0.0294,0.0146,0.0009,0.0009,16.6850,3.0693,0.8007,13.3581,9.7342,0.0316,0.2004,0.0181,0.2004,-43.5562,-62.6802,165.0878,0.4506,0.0019,0.3170,165.0897,0.8134,100.0000,100.0000,0.0308,0.0112,0.2750,0.9700,0.4380,0.9860,0.9911
25.0000,0.0198,0.0115,0.0006,0.0006,13.2555,1.6091,0.3131,9.3295,9.2185,0.0300,0.1105,0.0242,0.1105,19.2405,-13.6249,92.8719,0.2751,0.0016,0.2604,92.8735,0.5681,100.0000,100.0000,0.0162,0.0103,0.2339,1.0000,0.4492,0.9969,0.9969
25.0000,0.0268,0.0148,0.0007,0.0008,10.7036,3.9102,0.4030,0.6887,8.4014,0.0279,0.0892,0.0247,0.0892,34.3108,6.5893,75.5415,0.2310,0.0011,0.1930,75.5426,0.4671,100.0000,100.0000,0.0392,0.0152,0.1385,1.0000,0.4109,0.9844,0.9826
25.0000,0.0278,0.0083,0.0008,0.0006,8.9727,5.3231,0.3440,3.0006,8.3744,0.0310,0.0748,0.0222,0.0748,43.9346,23.7160,64.4745,0.2028,0.0007,0.1411,64.4752,0.3814,100.0000,100.0000,0.0534,0.0141,0.0736,1.0000,0.4251,0.9811,0.9951
25.0000,0.0251,0.0156,0.0007,0.0010,14.1402,1.7045,0.3025,3.1844,8.4174,0.0195,0.1178,0.0195,0.1178,15.4848,-19.8294,97.1908,0.2746,0.0017,0.2821,97.1925,0.5991,100.0000,100.0000,0.0171,0.0120,0.2530,1.0000,0.3244,0.9896,0.9839
25.0000,0.0240,0.0133,0.0007,0.0011,12.0377,2.1877,0.2632,12.6356,9.9967,0.0296,0.1003,0.0259,0.1003,26.3489,-6.1907,84.6974,0.2561,0.0014,0.2358,84.6988,0.5310,100.0000,100.0000,0.0220,0.0155,0.1983,1.0000,0.2808,0.9934,0.9948
25.0000,0.0226,0.0111,0.0009,0.0009,14.0008,3.7469,0.5656,7.0033,8.8266,0.0265,0.1167,0.0207,0.1167,15.3824,-15.1381,97.3087,0.2805,0.0015,0.2597,97.3102,0.5757,100.0000,100.0000,0.0375,0.0156,0.2066,1.0000,0.2807,0.9989,0.9939
25.0000,0.0307,0.0111,0.0008,0.0008,13.9272,1.2938,0.6602,15.2883,9.0261,0.0260,0.1370,0.0247,0.1370,1.2963,-40.6435,113.5072,0.3248,0.0020,0.3350,113.5093,0.7032,84.7117,84.7117,0.0154,0.0157,0.3039,1.0000,0.4150,0.9924,0.9821
25.0000,0.0247,0.0154,0.0009,0.0009,10.5911,1.5611,0.7810,5.0257,9.6073,0.0309,0.1130,0.0279,0.1130,17.3598,-6.8229,95.0350,0.2848,0.0012,0.2074,95.0363,0.5341,100.0000,100.0000,0.0157,0.0089,0.1828,0.9700,0.3591,0.9889,0.9892
25.0000,0.0291,0.0086,0.0008,0.0009,11.9117,5.8396,0.1763,3.2387,9.7073,0.0174,0.0993,0.0204,0.0993,28.6823,5.6423,82.0143,0.2362,0.0010,0.1962,82.0153,0.4718,100.0000,100.0000,0.0585,0.0147,0.1229,1.0000,0.2917,0.9852,0.9901
25.0000,0.0279,0.0153,0.0007,0.0010,12.1215,1.0671,0.8416,2.0054,8.9476,0.0301,0.1200,0.0177,0.1200,12.5814,-15.4172,100.5299,0.2878,0.0015,0.2444,100.5313,0.5771,100.0000,100.0000,0.0108,0.0110,0.2226,0.9700,0.3832,0.9823,0.9944
25.0000,0.0215,0.0110,0.0011,0.0007,11.4790,0.8650,0.0527,9.2779,9.2762,0.0310,0.0957,0.0298,0.0957,29.4060,-4.9732,81.1817,0.2522,0.0014,0.2384,81.1831,0.5249,100.0000,100.0000,0.0088,0.0153,0.2143,1.0000,0.4453,0.9990,0.9916
25.0000,0.0271,0.0104,0.0006,0.0009,10.3299,2.4069,0.6501,13.7728,8.8235,0.0320,0.0998,0.0286,0.0998,26.3709,0.9145,84.6724,0.2603,0.0011,0.1961,84.6735,0.4954,100.0000,100.0000,0.0242,0.0110,0.1609,1.0000,0.3283,0.9821,0.9863
25.0000,0.0211,0.0086,0.0006,0.0009,9.9516,2.7824,0.2476,11.1263,9.2830,0.0295,0.0829,0.0295,0.0829,38.4604,11.2476,70.7695,0.2249,0.0011,0.1877,70.7706,0.4438,100.0000,100.0000,0.0279,0.0134,0.1463,1.0000,0.3427,0.9946,0.9815
25.0000,0.0171,0.0148,0.0009,0.0011,13.6820,4.2863,0.2184,10.7708,9.4973,0.0312,0.1140,0.0298,0.1140,16.6080,-13.8784,95.8993,0.2891,0.0014,0.2465,95.9007,0.5694,100.0000,100.0000,0.0430,0.0120,0.1916,1.0000,0.3220,0.9897,0.9821
25.0000,0.0259,0.0119,0.0008,0.0009,14.0836,4.8791,0.5964,14.3763,9.0444,0.0293,0.1371,0.0198,0.1371,0.8257,-22.9457,114.0490,0.3233,0.0014,0.2520,114.0504,0.6147,100.0000,100.0000,0.0489,0.0157,0.1873,1.0000,0.4196,0.9842,0.9838
25.0000,0.0254,0.0127,0.0006,0.0011,11.2902,1.0320,0.8460,8.0963,9.4894,0.0224,0.1112,0.0217,0.1112,19.7131,-7.0830,92.3286,0.2665,0.0014,0.2291,92.3299,0.5354,100.0000,100.0000,0.0104,0.0117,0.2070,0.9700,0.3910,0.9826,0.9926
25.0000,0.0271,0.0145,0.0010,0.0006,8.6937,3.4126,0.2822,12.8637,8.4927,0.0268,0.0724,0.0274,0.0724,46.1060,21.4978,61.9773,0.1991,0.0008,0.1503,61.9782,0.3925,100.0000,100.0000,0.0343,0.0092,0.1068,1.0000,0.4891,0.9843,0.9912
25.0000,0.0326,0.0136,0.0009,0.0009,11.4506,5.9405,0.6697,2.6532,8.1902,0.0302,0.0954,0.0199,0.0954,29.6821,5.5133,80.8646,0.2409,0.0010,0.1835,80.8656,0.4724,100.0000,100.0000,0.0595,0.0121,0.1120,1.0000,0.2879,0.9873,0.9863
25.0000,0.0258,0.0095,0.0010,0.0007,16.9039,0.3097,0.2068,4.9469,9.5867,0.0192,0.1409,0.0199,0.1409,-0.5003,-42.2929,115.5731,0.3208,0.0022,0.3536,115.5753,0.7115,100.0000,100.0000,0.0032,0.0128,0.3376,1.0000,0.2863,0.9972,0.9835
25.0000,0.0208,0.0143,0.0009,0.0007,11.8605,2.5830,0.1350,8.6506,8.8825,0.0273,0.0988,0.0279,0.0988,27.6814,-2.5752,83.1650,0.2529,0.0013,0.2233,83.1664,0.5129,100.0000,100.0000,0.0259,0.0096,0.1878,1.0000,0.4260,0.9883,0.9895
25.0000,0.0196,0.0155,0.0007,0.0009,8.4263,2.1408,0.6171,10.9955,8.4500,0.0202,0.0702,0.0236,0.0702,48.5165,23.3685,59.2051,0.1843,0.0009,0.1621,59.2060,0.3832,100.0000,100.0000,0.0215,0.0128,0.1278,1.0000,0.4033,0.9836,0.9859
25.0000,0.0293,0.0146,0.0007,0.0007,15.2602,2.8652,0.5063,12.3564,8.3278,0.0319,0.1272,0.0227,0.1272,7.3731,-28.2429,106.5192,0.3089,0.0017,0.2870,106.5209,0.6412,100.0000,100.0000,0.0288,0.0093,0.2489,1.0000,0.4750,0.9974,0.9971
25.0000,0.0213,0.0099,0.0007,0.0006,15.2214,3.6830,0.4693,5.1212,8.2187,0.0318,0.1268,0.0177,0.1268,7.6138,-23.2313,106.2424,0.3031,0.0017,0.2804,106.2441,0.6162,100.0000,100.0000,0.0370,0.0094,0.2340,1.0000,0.4756,0.9837,0.9871
25.0000,0.0275,0.0165,0.0011,0.0011,10.6534,2.3083,0.6194,2.3263,9.9750,0.0253,0.0888,0.0248,0.0888,34.9401,4.1412,74.8177,0.2276,0.0012,0.2055,74.8189,0.4793,100.0000,100.0000,0.0232,0.0121,0.1702,1.0000,0.4998,0.9833,0.9822
25.0000,0.0297,0.0120,0.0011,0.0007,10.0844,3.6585,0.6326,11.4521,9.1275,0.0227,0.0840,0.0327,0.0840,38.5722,10.3080,70.6410,0.2235,0.0010,0.1815,70.6420,0.4485,100.0000,100.0000,0.0367,0.0143,0.1304,1.0000,0.4273,0.9958,0.9873
25.0000,0.0201,0.0142,0.0007,0.0009,15.9647,3.3711,0.8245,5.0696,9.5086,0.0235,0.1613,0.0240,0.1613,-15.3094,-41.4407,132.6041,0.3701,0.0018,0.3011,132.6059,0.7072,100.0000,100.0000,0.0338,0.0138,0.2535,0.9700,0.2744,0.9909,0.9946
25.0000,0.0300,0.0083,0.0009,0.0006,8.6537,2.1548,0.7776,12.1467,8.2903,0.0204,0.0927,0.0171,0.0927,32.8225,13.8009,77.2532,0.2230,0.0009,0.1683,77.2541,0.4310,100.0000,100.0000,0.0217,0.0157,0.1308,0.9700,0.4442,0.9876,0.9955
25.0000,0.0302,0.0105,0.0007,0.0011,11.1797,0.9686,0.6499,1.7976,8.0427,0.0300,0.0932,0.0197,0.0932,31.2733,-0.5842,79.0344,0.2361,0.0014,0.2244,79.0357,0.5029,100.0000,100.0000,0.0098,0.0099,0.2047,1.0000,0.4740,0.9812,0.9990
25.0000,0.0202,0.0152,0.0011,0.0009,8.5587,1.7642,0.0224,8.9379,8.7976,0.0323,0.0713,0.0254,0.0713,46.1750,19.5307,61.8978,0.2003,0.0010,0.1648,61.8988,0.4023,100.0000,100.0000,0.0177,0.0099,0.1372,1.0000,0.3209,0.9845,0.9926
25.0000,0.0181,0.0145,0.0011,0.0011,13.7168,0.6240,0.7301,16.2772,8.4593,0.0194,0.1870,0.0213,0.1870,-32.6267,-57.0350,152.5187,0.4147,0.0021,0.3357,152.5208,0.7852,83.7228,83.7228,0.0075,0.0145,0.3136,0.9700,0.2689,0.9854,0.9982
25.0000,0.0257,0.0110,0.0010,0.0009,12.9860,0.9562,0.4654,10.8186,9.7389,0.0302,0.1082,0.0315,0.1082,20.7813,-17.0681,91.0999,0.2781,0.0016,0.2686,91.1015,0.5853,100.0000,100.0000,0.0097,0.0134,0.2455,1.0000,0.3703,0.9970,0.9807
25.0000,0.0316,0.0157,0.0010,0.0007,13.1537,0.0285,0.1578,7.3212,9.7995,0.0257,0.1096,0.0258,0.1096,20.3961,-19.5550,91.5427,0.2707,0.0017,0.2781,91.5444,0.5978,100.0000,100.0000,0.0004,0.0103,0.2674,1.0000,0.4862,0.9864,0.9826
25.0000,0.0252,0.0143,0.0008,0.0007,15.6556,4.8784,0.1948,17.0296,9.3607,0.0189,0.1572,0.0253,0.1572,-11.8579,-46.1396,128.6347,0.3587,0.0019,0.3311,128.6366,0.7307,82.9704,82.9704,0.0589,0.0109,0.2612,1.0000,0.3838,0.9870,0.9956
25.0000,0.0175,0.0150,0.0011,0.0008,10.9804,2.9588,0.6780,4.7733,8.3431,0.0327,0.0915,0.0314,0.0915,32.0728,2.2321,78.1151,0.2471,0.0012,0.2072,78.1162,0.4888,100.0000,100.0000,0.0297,0.0137,0.1638,1.0000,0.4584,0.9971,0.9809
25.0000,0.0330,0.0090,0.0009,0.0008,16.8332,0.3374,0.2994,5.7654,9.3089,0.0181,0.1403,0.0318,0.1403,0.0593,-43.6991,114.9296,0.3304,0.0022,0.3445,114.9318,0.7185,100.0000,100.0000,0.0034,0.0101,0.3310,1.0000,0.2521,0.9984,0.9976
25.0000,0.0246,0.0158,0.0006,0.0010,15.8974,0.4237,0.1931,12.3785,9.1283,0.0171,0.1325,0.0304,0.1325,5.6115,-36.5535,108.5447,0.3125,0.0020,0.3283,108.5467,0.6828,100.0000,100.0000,0.0044,0.0125,0.3114,1.0000,0.4409,0.9953,0.9946
25.0000,0.0238,0.0151,0.0007,0.0007,8.5810,2.7005,0.6045,15.9046,8.5173,0.0243,0.0850,0.0204,0.0850,37.6744,12.1670,71.6734,0.2148,0.0011,0.1840,71.6744,0.4392,84.0954,84.0954,0.0322,0.0091,0.1427,1.0000,0.4905,0.9968,0.9814
25.0000,0.0311,0.0157,0.0010,0.0007,13.2942,5.1905,0.4058,1.2744,9.6887,0.0327,0.1108,0.0208,0.1108,18.6655,-10.3498,93.5334,0.2751,0.0013,0.2282,93.5346,0.5517,100.0000,100.0000,0.0520,0.0133,0.1629,1.0000,0.3501,0.9828,0.9966
25.0000,0.0171,0.0146,0.0008,0.0009,15.4713,0.8587,0.1136,3.0140,8.2387,0.0328,0.1289,0.0188,0.1289,6.0286,-31.2598,108.0652,0.3094,0.0019,0.3135,108.0671,0.6563,100.0000,100.0000,0.0087,0.0115,0.2933,1.0000,0.4795,0.9854,0.9972
25.0000,0.0190,0.0156,0.0008,0.0010,15.0238,1.1896,0.2008,6.3398,9.2295,0.0297,0.1252,0.0234,0.1252,9.0281,-28.5222,104.6158,0.3035,0.0019,0.3027,104.6177,0.6426,100.0000,100.0000,0.0120,0.0124,0.2783,1.0000,0.4700,0.9866,0.9953
25.0000,0.0312,0.0167,0.0007,0.0011,10.6864,5.0879,0.4499,12.2424,8.6573,0.0301,0.0891,0.0230,0.0891,34.1225,8.4580,75.7582,0.2312,0.0009,0.1769,75.7591,0.4577,100.0000,100.0000,0.0510,0.0133,0.1126,1.0000,0.4244,0.9967,0.9968
25.0000,0.0257,0.0127,0.0009,0.0011,13.8713,4.1320,0.5360,14.8241,9.3029,0.0217,0.1357,0.0208,0.1357,2.7656,-21.6453,111.8181,0.3139,0.0015,0.2541,111.8195,0.6082,100.0000,100.0000,0.0414,0.0142,0.1985,1.0000,0.3126,0.9975,0.9825
25.0000,0.0326,0.0148,0.0010,0.0010,8.0257,4.9204,0.4860,11.3586,8.8502,0.0178,0.0669,0.0317,0.0669,51.1509,29.3099,56.1759,0.1832,0.0006,0.1208,56.1765,0.3535,100.0000,100.0000,0.0493,0.0089,0.0626,1.0000,0.3938,0.9883,0.9970
25.0000,0.0203,0.0089,0.0007,0.0006,12.2601,5.5388,0.2780,3.8416,8.2012,0.0229,0.1022,0.0229,0.1022,25.9455,3.8669,85.1616,0.2501,0.0011,0.2002,85.1627,0.4807,100.0000,100.0000,0.0555,0.0096,0.1351,1.0000,0.3375,0.9927,0.9970
25.0000,0.0303,0.0125,0.0007,0.0006,16.2913,3.1811,0.0367,6.9119,9.2039,0.0190,0.1358,0.0320,0.1358,3.0755,-35.3280,111.4613,0.3226,0.0018,0.3100,111.4632,0.6766,100.0000,100.0000,0.0319,0.0150,0.2631,1.0000,0.4901,0.9840,0.9978
25.0000,0.0190,0.0114,0.0006,0.0008,12.6648,2.4873,0.9991,4.9164,9.1866,0.0221,0.1056,0.0320,0.1056,23.6283,-7.5438,87.8261,0.2653,0.0014,0.2406,87.8275,0.5377,99.9087,99.9087,0.0250,0.0095,0.2061,0.9500,0.4058,0.9969,0.9896
