MOE3.Percentage of unspent funds,com_post_MOPs.Communication System.Time to get info,com_post_MOPs.Computer.Processing time,comms_MOPs.Satellite.Receiving time,comms_MOPs.Satellite.Sending time,target.Distance from base,target.Distance from optimized path start,environment.Precipitation,environment.Wind speed,h.Analysis time,h.Rescue in region time,h.Time to hospital,h.Time to prepare,h.Time to region,laptop.Recognition software 3.Analysis time,MOE1.Fuel cost improvement rate,MOE2.Time improvement Rate,rescue unit MOPs.Fuel cost,rescue unit MOPs.Time to rescue,search unit MOPs.Fuel cost,search unit MOPs.Time to detect,Total MOPs.Fuel consumption cost,Total MOPs.Mission time,UAV.Conditional cruise speed,UAV.Conditional max speed,UAV.Search time,UAV.Time to prepare,UAV.Time to region,UAV.Camera 3.Transmission delay,UAV.Camera 3.Transparency,UAV.On-board navigation system 3.Navigation algorithm accuracy
45.0000,0.0236,0.0137,0.0007,0.0011,15.8142,0.0213,0.8983,16.4350,9.7336,0.0283,0.1756,0.0315,0.1756,1.3062,-25.8147,-68.9545,144.6844,0.4108,0.0025,0.3949,144.6869,0.8448,83.5650,83.5650,0.0008,0.0088,0.3853,0.7795,0.9700,0.9814
45.0000,0.0185,0.0157,0.0006,0.0009,16.3533,2.1470,0.6631,1.5018,8.9874,0.0175,0.1363,0.0295,0.1363,2.4036,2.9115,-35.1269,111.6498,0.3196,0.0020,0.3203,111.6518,0.6756,100.0000,100.0000,0.0223,0.0095,0.2885,0.7051,1.0000,0.9855
45.0000,0.0233,0.0147,0.0009,0.0009,11.3502,0.1063,0.8923,17.9780,8.7549,0.0301,0.1292,0.0316,0.1292,2.4525,6.1656,-30.1587,107.9077,0.3202,0.0018,0.2907,107.9095,0.6508,82.0220,82.0220,0.0023,0.0085,0.2798,1.2117,0.9700,0.9803
45.0000,0.0170,0.0132,0.0009,0.0010,14.7489,5.4775,0.1484,0.1124,8.4629,0.0180,0.1229,0.0238,0.1229,2.6271,12.1471,-14.5334,101.0294,0.2876,0.0014,0.2529,101.0309,0.5727,100.0000,100.0000,0.0558,0.0097,0.1875,1.0304,1.0000,0.9904
45.0000,0.0259,0.0090,0.0008,0.0009,10.8460,3.4805,0.9536,15.2643,9.2899,0.0231,0.1119,0.0323,0.1119,1.7890,19.1660,-10.8228,92.9577,0.2792,0.0014,0.2384,92.9591,0.5541,80.8017,80.8017,0.0438,0.0096,0.1850,0.8197,0.9500,0.9870
45.0000,0.0306,0.0096,0.0008,0.0009,8.5841,2.1279,0.3383,17.4670,8.9574,0.0238,0.0867,0.0273,0.0867,1.9365,36.6063,6.7214,72.9016,0.2244,0.0011,0.2001,72.9027,0.4664,82.5330,82.5330,0.0266,0.0143,0.1593,0.9549,1.0000,0.9838
45.0000,0.0185,0.0113,0.0011,0.0007,13.1891,1.1570,0.4393,7.9654,9.0287,0.0182,0.1099,0.0222,0.1099,2.8134,21.1644,-11.5436,90.6593,0.2602,0.0016,0.2659,90.6609,0.5577,100.0000,100.0000,0.0126,0.0083,0.2451,0.8111,1.0000,0.9828
45.0000,0.0283,0.0123,0.0007,0.0008,13.2115,4.8342,0.6889,11.2722,8.2718,0.0302,0.1101,0.0283,0.1101,1.5505,19.4702,-11.1315,92.6079,0.2787,0.0013,0.2349,92.6092,0.5557,100.0000,100.0000,0.0489,0.0159,0.1700,0.6276,1.0000,0.9868
45.0000,0.0294,0.0160,0.0008,0.0008,9.7242,4.3578,0.3805,11.8281,8.2776,0.0299,0.0810,0.0205,0.0810,1.2498,39.7316,14.6970,69.3078,0.2124,0.0009,0.1671,69.3086,0.4265,100.0000,100.0000,0.0443,0.0147,0.1081,1.4575,1.0000,0.9957
45.0000,0.0284,0.0124,0.0010,0.0007,16.5337,2.0127,0.7389,16.0725,9.1437,0.0259,0.2222,0.0216,0.2222,1.2306,-57.9422,-84.7210,181.6311,0.4918,0.0024,0.3893,181.6335,0.9236,83.9275,83.9275,0.0245,0.0137,0.3512,0.5675,0.9700,0.9859
45.0000,0.0242,0.0107,0.0009,0.0010,15.8829,2.1932,0.4936,3.5388,8.7105,0.0296,0.1324,0.0178,0.1324,1.4310,4.0637,-32.0985,110.3248,0.3121,0.0019,0.3115,110.3267,0.6605,100.0000,100.0000,0.0226,0.0135,0.2754,0.9930,1.0000,0.9950
45.0000,0.0311,0.0139,0.0008,0.0010,10.7419,3.8510,0.5631,10.1669,8.4353,0.0311,0.0895,0.0181,0.0895,1.8975,33.6715,6.9747,76.2767,0.2283,0.0011,0.1900,76.2778,0.4651,100.0000,100.0000,0.0393,0.0104,0.1404,0.7819,1.0000,0.9836
45.0000,0.0190,0.0136,0.0008,0.0007,9.1785,1.6790,0.3876,10.2689,9.4088,0.0209,0.0765,0.0298,0.0765,1.3549,44.0690,16.4528,64.3196,0.2037,0.0011,0.1799,64.3207,0.4177,100.0000,100.0000,0.0175,0.0097,0.1527,1.0258,1.0000,0.9837
45.0000,0.0172,0.0097,0.0009,0.0008,11.6318,3.1813,0.9898,14.4258,8.3659,0.0271,0.1144,0.0246,0.1144,1.0810,16.8571,-5.2736,95.6131,0.2805,0.0013,0.2172,95.6144,0.5264,98.9775,98.9775,0.0328,0.0103,0.1741,1.3234,0.9500,0.9819
45.0000,0.0189,0.0104,0.0009,0.0010,13.0932,3.7698,0.6833,7.8702,8.5295,0.0281,0.1091,0.0181,0.1091,1.7225,20.4307,-6.5849,91.5033,0.2645,0.0014,0.2373,91.5046,0.5329,100.0000,100.0000,0.0384,0.0108,0.1882,0.6828,1.0000,0.9924
45.0000,0.0202,0.0119,0.0011,0.0009,15.8455,4.0734,0.2957,15.7614,9.7479,0.0274,0.1568,0.0316,0.1568,2.2647,-12.6144,-50.9432,129.5045,0.3725,0.0020,0.3482,129.5066,0.7547,84.2386,84.2386,0.0493,0.0152,0.2837,1.0150,1.0000,0.9860
45.0000,0.0221,0.0141,0.0010,0.0010,15.2804,5.7999,0.3191,12.9964,8.0720,0.0304,0.1273,0.0230,0.1273,2.0117,7.4499,-22.0621,106.4312,0.3081,0.0015,0.2641,106.4327,0.6103,100.0000,100.0000,0.0587,0.0128,0.1925,0.6740,1.0000,0.9863
45.0000,0.0212,0.0155,0.0006,0.0010,10.1373,5.6032,0.9158,6.9968,9.9615,0.0220,0.0922,0.0329,0.0922,1.4877,32.9584,9.0471,77.0970,0.2394,0.0009,0.1771,77.0979,0.4548,91.5823,91.5823,0.0618,0.0155,0.0998,0.6596,0.9500,0.9949
45.0000,0.0186,0.0147,0.0009,0.0006,16.9178,2.2708,0.4577,9.2343,9.7924,0.0222,0.1410,0.0300,0.1410,2.9901,-0.9770,-39.0851,116.1216,0.3342,0.0020,0.3264,116.1236,0.6954,100.0000,100.0000,0.0238,0.0083,0.2942,1.1135,1.0000,0.9966
45.0000,0.0198,0.0150,0.0008,0.0010,16.2068,3.6875,0.9399,11.1601,9.1392,0.0307,0.1437,0.0255,0.1437,2.2111,-3.9703,-40.6415,119.5639,0.3436,0.0019,0.3231,119.5658,0.7032,93.9907,93.9907,0.0400,0.0112,0.2718,0.6160,0.9500,0.9808
45.0000,0.0177,0.0086,0.0007,0.0007,14.0726,3.0651,0.0194,11.2955,9.2890,0.0278,0.1173,0.0238,0.1173,2.0525,14.7888,-16.4916,97.9913,0.2861,0.0016,0.2687,97.9929,0.5825,100.0000,100.0000,0.0315,0.0129,0.2243,0.9498,1.0000,0.9825
45.0000,0.0317,0.0169,0.0009,0.0011,8.0091,5.1008,0.0694,14.4027,9.3315,0.0298,0.0780,0.0315,0.0780,2.3983,41.8645,21.8338,66.8553,0.2173,0.0006,0.1230,66.8558,0.3908,100.0000,100.0000,0.0519,0.0115,0.0595,0.9434,1.0000,0.9814
45.0000,0.0183,0.0104,0.0006,0.0008,10.0216,0.2752,0.1108,5.0686,8.0465,0.0175,0.0835,0.0282,0.0835,2.3882,39.6217,8.8649,69.4337,0.2127,0.0013,0.2128,69.4350,0.4557,100.0000,100.0000,0.0036,0.0114,0.1978,0.6692,1.0000,0.9869
45.0000,0.0263,0.0094,0.0010,0.0010,14.9771,2.0942,0.3749,2.5875,9.6246,0.0177,0.1248,0.0178,0.1248,2.1625,10.8715,-23.5652,102.4961,0.2851,0.0018,0.2949,102.4978,0.6178,100.0000,100.0000,0.0217,0.0152,0.2581,0.5270,1.0000,0.9994
45.0000,0.0311,0.0097,0.0009,0.0006,13.6622,1.4871,0.0998,12.9660,8.1780,0.0200,0.1139,0.0314,0.1139,1.7113,18.1876,-18.9526,94.0826,0.2791,0.0017,0.2733,94.0843,0.5948,100.0000,100.0000,0.0156,0.0097,0.2480,0.9432,1.0000,0.9827
45.0000,0.0204,0.0161,0.0011,0.0006,9.7083,4.6173,0.8345,3.6424,9.8284,0.0223,0.0969,0.0179,0.0969,1.1133,29.6492,13.3633,80.9025,0.2341,0.0008,0.1609,80.9034,0.4332,100.0000,100.0000,0.0469,0.0115,0.1025,1.4363,0.9700,0.9960
45.0000,0.0316,0.0106,0.0009,0.0010,11.3674,5.7424,0.1846,5.5732,9.5660,0.0231,0.0947,0.0211,0.0947,1.5598,31.0830,7.4619,79.2535,0.2337,0.0010,0.1847,79.2545,0.4627,100.0000,100.0000,0.0581,0.0132,0.1135,0.7418,1.0000,0.9940
45.0000,0.0284,0.0134,0.0007,0.0010,8.3348,4.5923,0.8289,17.7554,9.7072,0.0215,0.1019,0.0299,0.1019,1.7724,26.3168,8.0431,84.7348,0.2552,0.0008,0.1611,84.7356,0.4598,82.2446,82.2446,0.0566,0.0130,0.0915,0.8401,0.9700,0.9977
45.0000,0.0247,0.0148,0.0006,0.0009,16.9136,2.8962,0.3509,2.6676,9.9078,0.0273,0.1409,0.0257,0.1409,2.8975,-1.6098,-40.2970,116.8494,0.3349,0.0020,0.3255,116.8513,0.7015,100.0000,100.0000,0.0301,0.0114,0.2840,1.2499,1.0000,0.9880
45.0000,0.0240,0.0150,0.0010,0.0007,16.6705,0.5204,0.6821,14.8573,8.2900,0.0216,0.1632,0.0240,0.1632,2.9832,-16.3187,-51.6537,133.7644,0.3719,0.0022,0.3457,133.7665,0.7583,100.0000,100.0000,0.0063,0.0115,0.3280,0.8263,1.0000,0.9853
45.0000,0.0228,0.0159,0.0009,0.0008,14.8093,0.7101,0.1912,0.7054,9.0927,0.0245,0.1234,0.0188,0.1234,1.8161,10.9579,-27.1567,102.3965,0.2900,0.0019,0.3052,102.3984,0.6358,100.0000,100.0000,0.0078,0.0121,0.2853,0.5667,1.0000,0.9892
45.0000,0.0178,0.0094,0.0007,0.0008,13.9770,4.8222,0.0336,14.2767,8.7569,0.0281,0.1359,0.0265,0.1359,1.1341,1.8081,-20.0237,112.9192,0.3264,0.0014,0.2450,112.9206,0.6001,100.0000,100.0000,0.0487,0.0110,0.1854,0.5052,1.0000,0.9890
45.0000,0.0283,0.0131,0.0010,0.0006,15.4940,3.9440,0.2355,14.8649,9.6301,0.0222,0.1517,0.0171,0.1517,1.8683,-8.3948,-34.8144,124.6523,0.3426,0.0017,0.2886,124.6540,0.6741,100.0000,100.0000,0.0404,0.0157,0.2325,1.4848,1.0000,0.9949
45.0000,0.0227,0.0102,0.0008,0.0008,11.7029,4.5396,0.4278,16.3392,9.1952,0.0227,0.1166,0.0290,0.1166,2.0437,15.9480,-11.6051,96.6585,0.2848,0.0013,0.2388,96.6598,0.5580,83.6608,83.6608,0.0550,0.0097,0.1741,0.5145,1.0000,0.9850
45.0000,0.0271,0.0153,0.0009,0.0007,16.2851,0.7765,0.0120,16.6113,9.2316,0.0224,0.1627,0.0241,0.1627,2.2976,-16.1346,-63.1311,133.5523,0.3720,0.0025,0.3996,133.5548,0.8157,83.3887,83.3887,0.0101,0.0105,0.3789,0.7097,1.0000,0.9821
45.0000,0.0271,0.0134,0.0010,0.0008,13.1971,5.5938,0.5460,2.6415,9.2798,0.0184,0.1100,0.0206,0.1100,2.4748,21.0915,-4.1850,90.7435,0.2590,0.0012,0.2195,90.7447,0.5209,100.0000,100.0000,0.0569,0.0086,0.1540,1.0133,1.0000,0.9888
45.0000,0.0260,0.0143,0.0010,0.0010,14.6118,4.0794,0.7998,17.9224,8.8164,0.0218,0.1855,0.0252,0.1855,1.9337,-31.8901,-57.4081,151.6717,0.4180,0.0019,0.3268,151.6736,0.7870,82.0776,82.0776,0.0506,0.0146,0.2615,1.2620,0.9700,0.9820
45.0000,0.0184,0.0169,0.0009,0.0007,15.2959,1.8177,0.0841,9.0874,8.0327,0.0230,0.1275,0.0274,0.1275,1.1911,8.3242,-28.8737,105.4253,0.3053,0.0018,0.3021,105.4272,0.6444,100.0000,100.0000,0.0188,0.0110,0.2723,1.1138,1.0000,0.9911
45.0000,0.0276,0.0120,0.0010,0.0008,16.2944,5.0393,0.9736,7.1666,8.3130,0.0180,0.1395,0.0314,0.1395,1.5546,0.6224,-33.7170,114.2825,0.3284,0.0017,0.2989,114.2842,0.6686,97.3575,97.3575,0.0524,0.0126,0.2338,0.7973,0.9500,0.9901
45.0000,0.0286,0.0115,0.0009,0.0006,15.9282,1.0126,0.3802,0.0743,8.3265,0.0277,0.1327,0.0212,0.1327,1.1390,4.0420,-36.3395,110.3497,0.3144,0.0020,0.3257,110.3517,0.6817,100.0000,100.0000,0.0108,0.0122,0.3026,1.4510,1.0000,0.9865
45.0000,0.0309,0.0169,0.0007,0.0007,9.3445,3.1733,0.4699,5.0007,9.8016,0.0257,0.0779,0.0252,0.0779,1.2993,42.4710,14.8537,66.1574,0.2067,0.0009,0.1699,66.1583,0.4257,100.0000,100.0000,0.0325,0.0132,0.1242,1.4649,1.0000,0.9963
45.0000,0.0280,0.0122,0.0010,0.0007,9.7926,3.7504,0.6135,6.7309,8.0180,0.0202,0.0816,0.0247,0.0816,1.3908,40.5946,16.2974,68.3153,0.2081,0.0009,0.1685,68.3162,0.4185,100.0000,100.0000,0.0381,0.0088,0.1216,0.8652,1.0000,0.9962
45.0000,0.0273,0.0151,0.0007,0.0011,11.7597,4.3700,0.4630,7.3584,8.3750,0.0253,0.0980,0.0325,0.0980,2.4300,28.5216,-0.3456,82.1990,0.2539,0.0012,0.2037,82.2001,0.5017,100.0000,100.0000,0.0447,0.0085,0.1505,1.2257,1.0000,0.9838
45.0000,0.0240,0.0145,0.0008,0.0006,12.5659,0.4150,0.1592,7.3268,8.5510,0.0202,0.1047,0.0180,0.1047,1.7770,24.5187,-10.4215,86.8019,0.2476,0.0016,0.2646,86.8035,0.5521,100.0000,100.0000,0.0050,0.0128,0.2467,1.4275,1.0000,0.9858
45.0000,0.0270,0.0116,0.0009,0.0008,16.9752,2.8274,0.0458,6.9320,9.1531,0.0218,0.1415,0.0227,0.1415,1.0600,-1.2510,-38.9526,116.4367,0.3274,0.0020,0.3271,116.4386,0.6948,100.0000,100.0000,0.0289,0.0149,0.2833,1.2587,1.0000,0.9998
45.0000,0.0279,0.0112,0.0010,0.0010,16.5348,4.7903,0.5672,2.0915,9.7845,0.0259,0.1378,0.0286,0.1378,2.2442,0.7700,-34.5558,114.1127,0.3301,0.0017,0.3016,114.1145,0.6728,100.0000,100.0000,0.0488,0.0146,0.2383,0.8829,1.0000,0.9868
45.0000,0.0259,0.0152,0.0008,0.0011,8.2552,1.9257,0.0219,17.7484,8.2077,0.0176,0.0836,0.0240,0.0836,2.9964,39.5268,11.3932,69.5430,0.2088,0.0011,0.1912,69.5441,0.4430,82.2516,82.2516,0.0245,0.0124,0.1542,0.9447,1.0000,0.9999
45.0000,0.0322,0.0120,0.0007,0.0009,12.5443,3.5378,0.5406,6.1311,8.6400,0.0281,0.1045,0.0239,0.1045,2.7045,23.6127,-7.8144,87.8441,0.2610,0.0013,0.2323,87.8454,0.5391,100.0000,100.0000,0.0364,0.0128,0.1832,0.9450,1.0000,0.9847
45.0000,0.0312,0.0087,0.0010,0.0006,14.2531,5.5875,0.7637,6.2281,8.7340,0.0244,0.1555,0.0259,0.1555,2.7027,-11.3847,-29.7921,128.0910,0.3614,0.0014,0.2460,128.0924,0.6490,100.0000,100.0000,0.0568,0.0151,0.1741,0.6385,0.9700,0.9973
45.0000,0.0177,0.0169,0.0010,0.0007,15.4922,3.2168,0.2448,8.0520,9.0955,0.0180,0.1291,0.0204,0.1291,2.0053,7.8419,-25.3720,105.9800,0.2966,0.0017,0.2939,105.9818,0.6269,100.0000,100.0000,0.0331,0.0115,0.2492,1.3262,1.0000,0.9859
45.0000,0.0327,0.0153,0.0011,0.0009,16.9392,1.6329,0.1568,3.1909,8.1158,0.0301,0.1412,0.0214,0.1412,2.6226,-2.1279,-45.1156,117.4450,0.3338,0.0021,0.3417,117.4470,0.7256,100.0000,100.0000,0.0173,0.0154,0.3090,0.9895,1.0000,0.9915
45.0000,0.0186,0.0115,0.0009,0.0010,13.5142,2.5694,0.6751,0.6546,8.9733,0.0311,0.1126,0.0279,0.1126,2.3854,17.5961,-15.0937,94.7630,0.2843,0.0016,0.2593,94.7645,0.5755,100.0000,100.0000,0.0267,0.0093,0.2234,1.3231,1.0000,0.9808
45.0000,0.0225,0.0151,0.0007,0.0010,13.9515,1.2650,0.5869,3.7806,9.0206,0.0309,0.1163,0.0314,0.1163,1.2613,15.0884,-23.0538,97.6467,0.2948,0.0017,0.2811,97.6484,0.6153,100.0000,100.0000,0.0134,0.0109,0.2569,1.3729,1.0000,0.9887
45.0000,0.0287,0.0161,0.0007,0.0007,11.4952,0.9954,0.6294,15.7266,8.9864,0.0263,0.1137,0.0188,0.1137,1.8438,17.4990,-18.4151,94.8745,0.2724,0.0017,0.2734,94.8762,0.5921,84.2734,84.2734,0.0125,0.0114,0.2495,0.7404,1.0000,0.9998
45.0000,0.0272,0.0163,0.0008,0.0006,12.3468,0.0245,0.6219,6.3593,9.2201,0.0318,0.1029,0.0319,0.1029,1.9879,24.2710,-14.6916,87.0867,0.2695,0.0016,0.2590,87.0884,0.5735,100.0000,100.0000,0.0011,0.0099,0.2479,1.2351,1.0000,0.9950
45.0000,0.0309,0.0127,0.0008,0.0009,9.5664,2.2700,0.9369,11.8438,9.4571,0.0283,0.0851,0.0255,0.0851,2.9143,37.1139,7.6118,72.3179,0.2240,0.0011,0.1927,72.3190,0.4619,93.6902,93.6902,0.0253,0.0088,0.1587,0.7984,0.9500,0.9832
45.0000,0.0201,0.0108,0.0007,0.0008,11.5308,5.3783,0.8802,14.6596,8.3585,0.0326,0.1279,0.0174,0.1279,1.4855,6.7665,-6.4428,107.2175,0.3058,0.0010,0.1941,107.2185,0.5322,100.0000,100.0000,0.0545,0.0145,0.1251,0.9834,0.9700,0.9856
45.0000,0.0245,0.0084,0.0007,0.0011,9.0177,5.3026,0.9368,3.1965,8.0448,0.0279,0.0802,0.0289,0.0802,2.7937,40.5561,19.4794,68.3597,0.2173,0.0008,0.1507,68.3604,0.4026,93.6774,93.6774,0.0577,0.0122,0.0808,0.9319,0.9500,0.9850
45.0000,0.0264,0.0127,0.0009,0.0007,16.4904,0.2724,0.6618,11.4507,8.7095,0.0204,0.1374,0.0288,0.1374,1.0601,1.7456,-41.0739,112.9905,0.3240,0.0021,0.3407,112.9926,0.7054,100.0000,100.0000,0.0033,0.0091,0.3284,0.8592,1.0000,0.9885
45.0000,0.0284,0.0110,0.0006,0.0010,15.2578,2.1952,0.1107,3.0292,8.4887,0.0275,0.1271,0.0214,0.1271,2.2343,7.9646,-27.7314,105.8390,0.3031,0.0018,0.2945,105.8408,0.6387,100.0000,100.0000,0.0230,0.0095,0.2621,1.3966,1.0000,0.9980
45.0000,0.0223,0.0112,0.0010,0.0010,12.1113,5.3377,0.3455,4.6983,8.4095,0.0285,0.1009,0.0292,0.1009,2.0452,26.0737,0.3130,85.0141,0.2595,0.0011,0.2034,85.0152,0.4984,100.0000,100.0000,0.0542,0.0126,0.1366,0.9015,1.0000,0.9936
45.0000,0.0251,0.0114,0.0010,0.0006,10.5072,4.0404,0.1762,17.2799,9.7742,0.0258,0.1059,0.0316,0.1059,2.4079,22.9945,-5.4333,88.5551,0.2692,0.0012,0.2200,88.5563,0.5272,82.7201,82.7201,0.0497,0.0125,0.1577,0.8247,1.0000,0.9930
45.0000,0.0193,0.0134,0.0011,0.0010,13.4743,2.5255,0.6616,15.6846,9.4913,0.0260,0.1332,0.0262,0.1332,1.6739,3.9654,-32.2948,110.4380,0.3185,0.0018,0.3081,110.4398,0.6615,84.3154,84.3154,0.0308,0.0127,0.2647,1.2414,1.0000,0.9820
45.0000,0.0303,0.0155,0.0008,0.0006,13.2294,1.2210,0.6347,4.5916,8.9668,0.0222,0.1102,0.0277,0.1102,1.6287,20.4086,-17.4095,91.5285,0.2704,0.0016,0.2695,91.5301,0.5870,100.0000,100.0000,0.0130,0.0156,0.2409,1.1199,1.0000,0.9981
45.0000,0.0236,0.0103,0.0008,0.0007,10.3304,3.4269,0.5349,5.2752,8.0403,0.0301,0.0861,0.0292,0.0861,2.8870,36.1863,8.7222,73.3847,0.2315,0.0011,0.1894,73.3858,0.4564,100.0000,100.0000,0.0354,0.0131,0.1409,1.1653,1.0000,0.9816
45.0000,0.0212,0.0111,0.0007,0.0010,15.5240,3.7375,0.6421,0.9466,9.1565,0.0272,0.1294,0.0285,0.1294,1.6548,6.4550,-27.0547,107.5751,0.3144,0.0017,0.2868,107.5767,0.6353,100.0000,100.0000,0.0381,0.0125,0.2362,0.8060,1.0000,0.9992
45.0000,0.0306,0.0106,0.0010,0.0008,15.0556,3.7513,0.8171,3.9088,8.1571,0.0232,0.1535,0.0283,0.1535,1.4143,-9.8376,-36.1987,126.3116,0.3586,0.0016,0.2795,126.3132,0.6810,100.0000,100.0000,0.0383,0.0145,0.2267,1.4737,0.9700,0.9986
45.0000,0.0233,0.0159,0.0009,0.0009,14.9562,4.0426,0.3823,8.8470,9.1539,0.0251,0.1246,0.0244,0.1246,1.7562,10.0163,-22.4766,103.4796,0.2989,0.0016,0.2726,103.4812,0.6124,100.0000,100.0000,0.0413,0.0090,0.2222,1.4104,1.0000,0.9832
45.0000,0.0228,0.0162,0.0007,0.0007,8.9931,3.8737,0.4139,13.8595,9.3457,0.0307,0.0870,0.0271,0.0870,1.3916,35.4768,14.1754,74.2008,0.2318,0.0008,0.1570,74.2017,0.4291,100.0000,100.0000,0.0394,0.0142,0.1033,0.9546,1.0000,0.9934
45.0000,0.0324,0.0131,0.0009,0.0009,8.4367,2.6147,0.7507,16.0705,9.6463,0.0218,0.1116,0.0329,0.1116,1.0495,19.5378,-2.2837,92.5305,0.2778,0.0010,0.1863,92.5316,0.5114,83.9295,83.9295,0.0318,0.0141,0.1404,1.0885,0.9700,0.9900
45.0000,0.0198,0.0094,0.0009,0.0008,14.2841,5.1722,0.8382,0.7445,9.0888,0.0320,0.1420,0.0180,0.1420,1.0098,-2.9571,-22.9199,118.3993,0.3340,0.0014,0.2498,118.4007,0.6146,100.0000,100.0000,0.0524,0.0128,0.1846,1.3369,0.9700,0.9886
45.0000,0.0236,0.0160,0.0011,0.0009,12.6388,2.1053,0.8198,7.6093,9.0278,0.0185,0.1285,0.0315,0.1285,1.1782,8.2113,-18.9747,105.5556,0.3070,0.0015,0.2463,105.5571,0.5949,100.0000,100.0000,0.0217,0.0106,0.2140,1.2314,0.9700,0.9856
45.0000,0.0275,0.0151,0.0011,0.0007,8.7341,4.3560,0.3225,16.4853,8.3748,0.0181,0.0872,0.0325,0.0872,1.9547,37.0070,11.7976,72.4410,0.2250,0.0009,0.1717,72.4419,0.4410,83.5147,83.5147,0.0530,0.0133,0.1054,0.9236,1.0000,0.9970
45.0000,0.0201,0.0163,0.0010,0.0006,9.1270,4.2829,0.0968,17.2268,8.8722,0.0204,0.0919,0.0220,0.0919,2.4042,33.4195,10.5762,76.5665,0.2261,0.0010,0.1831,76.5675,0.4471,82.7732,82.7732,0.0526,0.0109,0.1196,0.6138,1.0000,0.9806
